row_id,run_id,config_id,model,candidate_id,schedule_policy,latency_p50_ms,latency_min_ms,latency_max_ms,quality_flag,claim_status,reasons
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_base_fp16_metaschedule_tuned:h800_tvm:calib_h800_tvm_pyramid_base_fp16_tuned_clean_20260625_203000,calib_h800_tvm_pyramid_base_fp16_tuned_clean_20260625_203000,calibration_h800_tvm_pyramid_base_fp16_metaschedule_tuned,pyramid_lidar,calibration:pyramid_lidar:base,metaschedule_tuned,6.209998,6.2028609999999995,6.212837,stable,claimable,
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_p50_fp16_metaschedule_tuned:h800_tvm:calib_h800_tvm_pyramid_p50_fp16_tuned_clean_20260625_203000,calib_h800_tvm_pyramid_p50_fp16_tuned_clean_20260625_203000,calibration_h800_tvm_pyramid_p50_fp16_metaschedule_tuned,pyramid_lidar,calibration:pyramid_lidar:p50,metaschedule_tuned,3.0121219999999997,3.011806,3.012372,stable,claimable,
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_trap25_fp16_metaschedule_tuned:h800_tvm:calib_h800_tvm_pyramid_trap25_fp16_tuned_clean_20260625_203000,calib_h800_tvm_pyramid_trap25_fp16_tuned_clean_20260625_203000,calibration_h800_tvm_pyramid_trap25_fp16_metaschedule_tuned,pyramid_lidar,calibration:pyramid_lidar:trap25,metaschedule_tuned,21.605161,21.604943,21.605453,stable,claimable,
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_p75_fp16_metaschedule_tuned:h800_tvm:calib_h800_tvm_pyramid_p75_fp16_tuned_clean_20260625_203000,calib_h800_tvm_pyramid_p75_fp16_tuned_clean_20260625_203000,calibration_h800_tvm_pyramid_p75_fp16_metaschedule_tuned,pyramid_lidar,calibration:pyramid_lidar:p75,metaschedule_tuned,0.48303199999999996,0.482739,0.483204,stable,claimable,
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_iso_s0_fp16_metaschedule_tuned:h800_tvm:calib_h800_tvm_pyramid_iso_s0_fp16_tuned_clean_20260625_203000,calib_h800_tvm_pyramid_iso_s0_fp16_tuned_clean_20260625_203000,calibration_h800_tvm_pyramid_iso_s0_fp16_metaschedule_tuned,pyramid_lidar,calibration:pyramid_lidar:iso_s0,metaschedule_tuned,21.72284,21.722418,21.723419999999997,stable,claimable,
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_iso_s1_fp16_metaschedule_tuned:h800_tvm:calib_h800_tvm_pyramid_iso_s1_fp16_tuned_clean_20260625_203000,calib_h800_tvm_pyramid_iso_s1_fp16_tuned_clean_20260625_203000,calibration_h800_tvm_pyramid_iso_s1_fp16_metaschedule_tuned,pyramid_lidar,calibration:pyramid_lidar:iso_s1,metaschedule_tuned,6.917596,6.917308,6.918098,stable,claimable,
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_iso_s2_fp16_metaschedule_tuned:h800_tvm:calib_h800_tvm_pyramid_iso_s2_fp16_tuned_clean_20260625_203000,calib_h800_tvm_pyramid_iso_s2_fp16_tuned_clean_20260625_203000,calibration_h800_tvm_pyramid_iso_s2_fp16_metaschedule_tuned,pyramid_lidar,calibration:pyramid_lidar:iso_s2,metaschedule_tuned,7.25165,7.250813,7.2523729999999995,stable,claimable,
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_s2_128_fp16_metaschedule_tuned:h800_tvm:calib_h800_tvm_pyramid_s2_128_fp16_tuned_clean_20260625_203000,calib_h800_tvm_pyramid_s2_128_fp16_tuned_clean_20260625_203000,calibration_h800_tvm_pyramid_s2_128_fp16_metaschedule_tuned,pyramid_lidar,calibration:pyramid_lidar:s2_128,metaschedule_tuned,7.3140600000000004,6.294517,7.659172,stable,claimable,
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_pad64_fp16_metaschedule_tuned:h800_tvm:calib_h800_tvm_pyramid_pad64_fp16_tuned_clean_retry_20260625_193926,calib_h800_tvm_pyramid_pad64_fp16_tuned_clean_retry_20260625_193926,calibration_h800_tvm_pyramid_pad64_fp16_metaschedule_tuned,pyramid_lidar,calibration:pyramid_lidar:pad64,metaschedule_tuned,6.163701,6.159193,6.163992,stable,claimable,
latency_lut:pyramid_lidar:calibration_h800_tvm_pyramid_base_fp16_default:h800_tvm:calib_h800_tvm_pyramid_base_fp16_tuned_clean_20260625_203000_default_schedule,calib_h800_tvm_pyramid_base_fp16_tuned_clean_20260625_203000_default_schedule,calibration_h800_tvm_pyramid_base_fp16_default,pyramid_lidar,calibration:pyramid_lidar:base,default,56.259800999999996,56.257324,56.261464999999994,stable,claimable,
